[2025-11-27 15:28:21.400] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:28:26.400] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:28:31.400] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:28:36.402] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:28:41.403] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:28:46.406] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:28:51.407] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:28:56.409] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:01.410] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:06.410] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:11.410] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:16.410] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:21.410] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:26.411] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:31.413] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:36.415] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:41.417] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:46.417] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:51.416] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:29:56.417] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:01.418] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:06.420] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:11.422] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:16.423] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:21.426] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:26.426] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:31.428] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:36.430] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:41.433] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:46.433] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:51.435] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:30:56.438] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:01.440] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:06.443] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:11.444] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:16.446] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:21.449] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:26.450] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:31.450] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:36.452] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:31:41.453] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
